-0.32475,0.03362,0.43543,-0.00731,0.0333,0.0634,0.99741,-0.37076,0.90606,-2.01485,0.3345,1.28303,-2.10191,-0.27967,0.9606,-1.84262,0.34107,1.1089,-1.97398
-0.34425,0.03347,0.436,-0.00488,0.03358,0.05855,0.99771,-0.36109,0.9569,-2.01917,0.35076,1.1801,-2.14792,-0.28092,0.9982,-1.84204,0.33759,1.01718,-1.95389
-0.36267,0.03297,0.43678,-0.00232,0.03275,0.05243,0.99808,-0.35293,1.00365,-2.01721,0.36545,1.03768,-2.16312,-0.28414,1.03786,-1.84152,0.33563,0.92634,-1.92765
-0.38052,0.03185,0.43839,-0.00052,0.03087,0.04456,0.99853,-0.33927,1.04726,-2.00722,0.37737,0.88397,-2.15122,-0.28896,1.07849,-1.83908,0.3409,0.83754,-1.89325
-0.39764,0.03088,0.44059,0.00139,0.0273,0.03648,0.99896,-0.32648,1.08845,-1.99143,0.38383,0.74652,-2.11817,-0.2955,1.12124,-1.83747,0.35036,0.75416,-1.85488
-0.4144,0.02972,0.44294,0.00344,0.02327,0.0293,0.99929,-0.31323,1.12287,-1.96877,0.38101,0.64277,-2.06875,-0.3059,1.16467,-1.83157,0.35944,0.68271,-1.81427
-0.43109,0.02828,0.44521,0.00601,0.01988,0.02333,0.99951,-0.30357,1.15393,-1.94487,0.3744,0.57126,-2.01447,-0.31671,1.20302,-1.8219,0.36687,0.62667,-1.77829
-0.44739,0.02721,0.4476,0.00909,0.01769,0.02032,0.9996,-0.29943,1.17933,-1.92144,0.3705,0.51658,-1.97045,-0.32866,1.23687,-1.80939,0.36917,0.59138,-1.74426
-0.4643,0.026,0.45021,0.01145,0.01678,0.02024,0.99959,-0.29604,1.2029,-1.89564,0.35717,0.47791,-1.92003,-0.33297,1.26657,-1.79532,0.36838,0.57354,-1.71236
-0.48149,0.02436,0.45259,0.01589,0.01664,0.02145,0.9995,-0.29643,1.22307,-1.87215,0.28711,0.47167,-1.86413,-0.34049,1.29162,-1.78043,0.35009,0.58665,-1.69466
-0.49931,0.02262,0.45301,0.02059,0.01493,0.0225,0.99942,-0.29833,1.24876,-1.8494,0.22946,0.51344,-1.82529,-0.35112,1.3288,-1.78668,0.34737,0.64114,-1.71044
-0.51751,0.02148,0.45155,0.02432,0.01237,0.02311,0.99936,-0.29958,1.28077,-1.83067,0.22179,0.55908,-1.81361,-0.36201,1.37706,-1.81908,0.35291,0.69018,-1.73662
-0.53709,0.02083,0.44913,0.026,0.01064,0.02307,0.99934,-0.30017,1.31668,-1.81946,0.25662,0.62349,-1.84711,-0.36031,1.42054,-1.85967,0.3519,0.73631,-1.75744
-0.55623,0.02028,0.44697,0.02491,0.01248,0.02241,0.99936,-0.29738,1.34848,-1.82141,0.26164,0.67158,-1.87474,-0.34319,1.42597,-1.88876,0.35501,0.78369,-1.78119
-0.57543,0.01975,0.44507,0.02362,0.01548,0.02092,0.99938,-0.29465,1.36652,-1.83277,0.25796,0.71854,-1.89341,-0.32551,1.39597,-1.91145,0.35317,0.82778,-1.79544
-0.59463,0.02022,0.44312,0.02141,0.01923,0.01956,0.99939,-0.29732,1.35806,-1.85983,0.27404,0.76886,-1.92619,-0.31291,1.35627,-1.9439,0.35667,0.86303,-1.80699
-0.61363,0.02119,0.4416,0.01824,0.02268,0.01911,0.99939,-0.31101,1.32822,-1.91411,0.28469,0.8176,-1.95259,-0.30378,1.30991,-1.97663,0.36098,0.89505,-1.81449
-0.63265,0.02222,0.44009,0.01461,0.02389,0.0188,0.99943,-0.33354,1.29733,-1.97118,0.29482,0.86943,-1.97191,-0.29181,1.25505,-1.9985,0.36767,0.93374,-1.82521
-0.65114,0.02309,0.43886,0.01076,0.02489,0.01931,0.99945,-0.37284,1.24097,-2.03743,0.30257,0.91926,-1.98654,-0.27871,1.17968,-2.00555,0.37261,0.97377,-1.83449
